Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","10uF","C_2220_5750Metric",121.950000,-96.100000,0.000000,top
"C2","10uF","C_2220_5750Metric",91.500000,-83.400000,135.000000,top
"C3","0.1uF","C_0603_1608Metric",118.650000,-84.200000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",123.500000,-92.400000,0.000000,top
"C5","300pF","C_0603_1608Metric",113.125000,-81.400000,180.000000,top
"C6","27nF","C_0603_1608Metric",113.125000,-79.900000,180.000000,top
"C7","10nF","C_0603_1608Metric",110.725000,-83.675000,180.000000,top
"C8","100uF","CP_Elec_16x17.5",112.200000,-125.700000,-90.000000,top
"D1","D_Schottky","D_SMC",117.050000,-89.800000,180.000000,top
"L1","SER2918H-333KL","IND_SER2918H_COC",104.000000,-103.355001,180.000000,top
"R1","118K","R_0603_1608Metric",106.225000,-82.200000,0.000000,top
"R2","2.49K","R_0603_1608Metric",109.225000,-82.200000,0.000000,top
"R3","63.4K","R_0603_1608Metric",116.800000,-81.400000,180.000000,top
"R4","63.4K","R_0603_1608Metric",110.150000,-79.900000,0.000000,top
"U1","LM5157RTER","QFN_57RTER_TEX",114.976800,-84.276800,180.000000,top
