Designator,Val,Package,"Mid X","Mid Y",Rotation,Layer
"C1","10uF","C_2220_5750Metric",128.250000,-122.100000,0.000000,top
"C2","10uF","C_2220_5750Metric",107.700000,-109.000000,0.000000,top
"C3","1uF","C_0603_1608Metric",124.900000,-110.200000,180.000000,top
"C4","0.1uF","C_0603_1608Metric",129.700000,-115.700000,0.000000,top
"C5","300pF","C_0603_1608Metric",119.425000,-107.400000,180.000000,top
"C6","27nF","C_0603_1608Metric",119.425000,-105.900000,180.000000,top
"C7","10nF","C_0603_1608Metric",117.625000,-109.675000,180.000000,top
"C8","100uF","CP_Elec_10x10",127.800000,-130.600000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",129.000000,-113.400000,90.000000,top
"C10","0.1uF","C_0603_1608Metric",124.900000,-108.700000,180.000000,top
"C11","10uF","C_0402_1005Metric",105.870000,-89.000000,180.000000,top
"C12","10uF","C_0402_1005Metric",105.870000,-90.400000,180.000000,top
"C13","10uF","C_0402_1005Metric",105.850000,-87.700000,180.000000,top
"C14","300pF","C_0603_1608Metric",109.578604,-86.781802,180.000000,top
"C15","300pF","C_0603_1608Metric",112.541802,-86.781802,0.000000,top
"C16","10uF","C_0402_1005Metric",107.170000,-86.550000,180.000000,top
"D1","B3100-13-F","D_SMC",123.300000,-115.800000,180.000000,top
"D2","B3100-13-F","D_SMC",109.900000,-95.850000,0.000000,top
"J2","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV",110.250000,-77.600000,180.000000,top
"L1","CDEP15D90T150NP-220MC","CDEP15D90T150NP-220MC",110.200000,-121.000000,180.000000,top
"R1","118K","R_0603_1608Metric",113.475000,-108.200000,0.000000,top
"R2","2.49K","R_0603_1608Metric",116.450000,-108.200000,0.000000,top
"R3","63.4K","R_0603_1608Metric",123.200000,-107.200000,180.000000,top
"R4","1.21K","R_0603_1608Metric",116.450000,-105.900000,0.000000,top
"R5","2.49K","R_0603_1608Metric",125.900000,-100.800000,0.000000,top
"R6","2.49K","R_0603_1608Metric",124.800000,-91.750000,90.000000,top
"R7","2.49K","R_0603_1608Metric",124.800000,-95.275000,-90.000000,top
"R8","2.49K","R_0603_1608Metric",126.300000,-94.250000,-90.000000,top
"U1","LM5157RTER","QFN_57RTER_TEX",121.276800,-110.276800,180.000000,top
"U2","TPS25750DRJKR","IC_TPS25750DRJKR",110.250000,-90.025000,0.000000,top
"U3","CAT24C256","SOIC-8_3.9x4.9mm_P1.27mm",120.350000,-94.450000,0.000000,top
